Date,Open,High,Low,Close
1971-01-04,191.48,191.48,191.48,191.48
1971-01-05,191.44,191.44,191.44,191.44
1971-01-06,191.53,191.53,191.53,191.53
1971-01-07,191.56,191.56,191.56,191.56
1971-01-08,191.58,191.58,191.58,191.58
1971-01-11,191.7,191.7,191.7,191.7
1971-01-12,191.75,191.75,191.75,191.75
1971-01-13,192.04,192.04,192.04,192.04
1971-01-14,192.07,192.07,192.07,192.07
1971-01-15,192.12,192.12,192.12,192.12
1971-01-18,192.14,192.14,192.14,192.14
1971-01-19,192.17,192.17,192.17,192.17
1971-01-20,192.41,192.41,192.41,192.41
1971-01-21,192.41,192.41,192.41,192.41
1971-01-22,192.23,192.23,192.23,192.23
1971-01-25,192.19,192.19,192.19,192.19
1971-01-26,192.2,192.2,192.2,192.2
1971-01-27,192.22,192.22,192.22,192.22
1971-01-28,192.2,192.2,192.2,192.2
1971-01-29,192.12,192.12,192.12,192.12
1971-02-01,192.04,192.04,192.04,192.04
1971-02-02,191.96,191.96,191.96,191.96
1971-02-03,192.04,192.04,192.04,192.04
1971-02-04,192.03,192.03,192.03,192.03
1971-02-05,192.02,192.02,192.02,192.02
1971-02-08,192,192,192,192
1971-02-09,192.05,192.05,192.05,192.05
1971-02-10,191.98,191.98,191.98,191.98
1971-02-11,191.92,191.92,191.92,191.92
1971-02-16,192.05,192.05,192.05,192.05
1971-02-17,192.07,192.07,192.07,192.07
1971-02-18,192.03,192.03,192.03,192.03
1971-02-19,192.07,192.07,192.07,192.07
1971-02-22,192.11,192.11,192.11,192.11
1971-02-23,192.08,192.08,192.08,192.08
1971-02-24,192.11,192.11,192.11,192.11
1971-02-25,192.05,192.05,192.05,192.05
1971-02-26,191.76,191.76,191.76,191.76
1971-03-01,191.96,191.96,191.96,191.96
1971-03-02,192,192,192,192
1971-03-03,192.06,192.06,192.06,192.06
1971-03-04,191.93,191.93,191.93,191.93
1971-03-05,192.02,192.02,192.02,192.02
1971-03-08,192.07,192.07,192.07,192.07
1971-03-09,192.02,192.02,192.02,192.02
1971-03-10,192.07,192.07,192.07,192.07
1971-03-11,192.05,192.05,192.05,192.05
1971-03-12,191.94,191.94,191.94,191.94
1971-03-15,191.92,191.92,191.92,191.92
1971-03-16,191.86,191.86,191.86,191.86
1971-03-17,192.06,192.06,192.06,192.06
1971-03-18,192.04,192.04,192.04,192.04
1971-03-19,192.05,192.05,192.05,192.05
1971-03-22,191.99,191.99,191.99,191.99
1971-03-23,192.04,192.04,192.04,192.04
1971-03-24,192.07,192.07,192.07,192.07
1971-03-25,191.97,191.97,191.97,191.97
1971-03-26,191.99,191.99,191.99,191.99
1971-03-29,191.94,191.94,191.94,191.94
1971-03-30,192.04,192.04,192.04,192.04
